,High,Low,Open,Close,Volume,Adj Close,DGS10
2016-05-16,81.88999938964844,80.75,81.01000213623047,81.62999725341797,6497200.0,70.57916259765625,1.75
2016-05-17,82.05999755859375,80.33000183105469,81.63999938964844,80.62000274658203,10188200.0,69.70589447021484,1.76
2016-05-18,80.7699966430664,79.41000366210938,80.58999633789062,79.8499984741211,8344100.0,69.0401382446289,1.87
2016-05-19,80.22000122070312,79.44999694824219,79.63999938964844,80.19000244140625,6242500.0,69.3341064453125,1.85
2016-05-20,80.5,79.79000091552734,80.44000244140625,80.0199966430664,6526800.0,69.18711853027344,1.85
2016-05-23,80.33000183105469,79.8499984741211,80.05000305175781,80.19999694824219,5620600.0,69.3427505493164,1.84
2016-05-24,81.37999725341797,80.30000305175781,80.30000305175781,80.97000122070312,6293300.0,70.00849914550781,1.86
2016-05-25,81.7699966430664,81.01000213623047,81.08000183105469,81.4800033569336,6049800.0,70.449462890625,1.87
2016-05-26,81.5999984741211,81.08999633789062,81.4800033569336,81.22000122070312,4622300.0,70.22466278076172,1.83
2016-05-27,81.66000366210938,81.16000366210938,81.2699966430664,81.43000030517578,4322200.0,70.4062271118164,1.85
2016-05-30,,,,,,,
2016-05-31,81.81999969482422,80.73999786376953,81.58000183105469,81.04000091552734,6705000.0,70.06903839111328,1.84
2016-06-01,81.80000305175781,80.86000061035156,80.94999694824219,81.79000091552734,6184100.0,70.71749877929688,1.85
2016-06-02,81.94999694824219,81.33000183105469,81.52999877929688,81.94999694824219,5186300.0,70.8558349609375,1.81
2016-06-03,82.48999786376953,81.77999877929688,81.93000030517578,82.47000122070312,6306700.0,71.30543518066406,1.71
2016-06-06,82.83000183105469,82.2300033569336,82.4000015258789,82.7699966430664,5292300.0,71.56482696533203,1.73
2016-06-07,82.88999938964844,82.25,82.76000213623047,82.31999969482422,6327500.0,71.17573547363281,1.72
2016-06-08,82.75,82.0199966430664,82.37000274658203,82.6500015258789,4712600.0,71.4610824584961,1.71
2016-06-09,83.26000213623047,82.43000030517578,82.58000183105469,83.16999816894531,6144900.0,71.91069030761719,1.68
2016-06-10,83.33999633789062,82.61000061035156,82.7699966430664,83.19999694824219,6840800.0,71.93661499023438,1.64
2016-06-13,83.4000015258789,82.52999877929688,82.95999908447266,82.56999969482422,6167400.0,71.39190673828125,1.62
2016-06-14,83.37000274658203,82.2699966430664,82.55000305175781,83.3499984741211,6868600.0,72.06629943847656,1.62
2016-06-15,83.5,82.81999969482422,83.4000015258789,82.94999694824219,7082200.0,71.720458984375,1.6
2016-06-16,83.61000061035156,82.66000366210938,82.66999816894531,83.41000366210938,6630100.0,72.11820220947266,1.57
2016-06-17,83.44000244140625,82.3499984741211,83.30999755859375,83.12999725341797,11741700.0,71.87610626220703,1.62
2016-06-20,83.69999694824219,83.02999877929688,83.5199966430664,83.04000091552734,6164300.0,71.79827117919922,1.67
2016-06-21,83.77999877929688,83.08999633789062,83.08999633789062,83.41000366210938,6594700.0,72.11820220947266,1.71
2016-06-22,83.76000213623047,83.29000091552734,83.5,83.56999969482422,4940100.0,72.25653076171875,1.69
2016-06-23,84.20999908447266,83.56999969482422,83.80999755859375,84.20999908447266,7361300.0,72.80989074707031,1.74
2016-06-24,83.81999969482422,81.98999786376953,82.61000061035156,82.26000213623047,12401100.0,71.12386322021484,1.57
2016-06-27,81.88999938964844,81.0,81.83000183105469,81.2300033569336,9601800.0,70.23332214355469,1.46
2016-06-28,82.48999786376953,80.94999694824219,81.44000244140625,82.45999908447266,9257100.0,71.29680633544922,1.46
2016-06-29,83.91000366210938,82.91000366210938,82.95999908447266,83.91000366210938,7927500.0,72.5505142211914,1.5
2016-06-30,84.80000305175781,83.81999969482422,83.91000366210938,84.66999816894531,10969300.0,73.20761108398438,1.49
2016-07-01,84.98999786376953,84.51000213623047,84.5199966430664,84.77999877929688,9531100.0,73.30272674560547,1.46
2016-07-04,,,,,,,
2016-07-05,85.94999694824219,84.44999694824219,84.4800033569336,85.44000244140625,11403100.0,73.87337493896484,1.37
2016-07-06,85.5,84.73999786376953,85.37000274658203,85.02999877929688,8356500.0,73.51886749267578,1.38
2016-07-07,85.23999786376953,84.52999877929688,85.2300033569336,84.83000183105469,7905700.0,73.34595489501953,1.4
2016-07-08,85.9000015258789,84.7699966430664,84.9800033569336,85.7699966430664,6827300.0,74.15870666503906,1.37
2016-07-11,85.94999694824219,84.91000366210938,85.61000061035156,85.75,6156800.0,74.14142608642578,1.43
2016-07-12,85.94000244140625,85.19000244140625,85.48999786376953,85.75,6649800.0,74.14142608642578,1.53
2016-07-13,86.1500015258789,85.41000366210938,85.80999755859375,85.88999938964844,7572100.0,74.26244354248047,1.48
2016-07-14,86.88999938964844,85.8499984741211,86.44000244140625,85.87000274658203,11342600.0,74.24514770507812,1.53
2016-07-15,86.4800033569336,85.79000091552734,86.25,86.01000213623047,8491300.0,74.36621856689453,1.6
2016-07-18,86.05000305175781,85.69999694824219,86.0199966430664,85.93000030517578,4781300.0,74.29704284667969,1.59
2016-07-19,86.18000030517578,85.55999755859375,85.66999816894531,86.16999816894531,6078200.0,74.50453186035156,1.56
2016-07-20,85.7300033569336,85.12999725341797,85.37999725341797,85.31999969482422,6289000.0,74.34770202636719,1.59
2016-07-21,85.37000274658203,84.87999725341797,85.0199966430664,85.26000213623047,5407000.0,74.29541778564453,1.57
