Date,High,Low,Open,Close,Volume,Adj Close
2010-08-31,-0.9948633273222598,-0.9492264163647486,-0.9821509560689521,-0.9650760266304097,-0.8289701248159027,-0.9999999999999998
2010-09-01,-0.9857985362488482,-0.940814254831764,-0.964301912137904,-0.9611621003906747,-0.7934473708027876,-0.997585244797101
2010-09-02,-0.9782445244768263,-0.9354064039585295,-0.969142324963042,-0.9530332296690516,-0.8673495750335284,-0.9925699385475568
2010-09-03,-0.9722012920061944,-0.9318010936383028,-0.9534110698347524,-0.9464096798554422,-0.8885394811541975,-0.9884836115167428
2010-09-07,-0.9737120713075842,-0.9290972828087909,-0.9609742220868145,-0.9509257574281074,-0.9140374694542492,-0.9912696630242344
2010-09-08,-0.9722012920061944,-0.922187161998576,-0.9567387598858421,-0.9440011893723448,-0.9091188836505155,-0.9869977370716072
2010-09-09,-0.9664602845548838,-0.920384621445568,-0.9410075047575526,-0.9464096798554422,-0.9055315577715795,-0.9884836115167428
2010-09-10,-0.9682731736105228,-0.9182815810623219,-0.9458479175826904,-0.9430979049486377,-0.9147203778211109,-0.9864403495403693
2010-09-13,-0.9649493899884216,-0.9200841216153299,-0.941612455381718,-0.94068941446554,-0.8747496688305811,-0.9849548689390997
2010-09-14,-0.9589062727828619,-0.9170798109555798,-0.9494781983504077,-0.9358723186507216,-0.8549502628785822,-0.9819827262049627
2010-09-15,-0.9447046937666377,-0.9107706898058412,-0.9443351948086423,-0.9217220494484193,-0.8849258262779849,-0.973252979994996
2010-09-16,-0.9537694848400495,-0.9068649942624818,-0.934956959874994,-0.9217220494484193,-0.9102971062786431,-0.973252979994996
2010-09-17,-0.9428916894459265,-0.9023584136657512,-0.9216457380524561,-0.9259369939303077,-0.7432708842429179,-0.9758530387368087
2010-09-20,-0.9392657960695763,-0.899354103006001,-0.9307216130785665,-0.9120878578187823,-0.8871654366088252,-0.9673088914486552
2010-09-21,-0.9311074495239842,-0.8897401713662743,-0.9174103912560287,-0.9093782342449079,-0.8501402841886143,-0.9656370242378407
2010-09-22,-0.9268772213740635,-0.8840319352699069,-0.9149902425457321,-0.9012493635232846,-0.8774121886801768,-0.960621816449263
2010-09-23,-0.9395679058238253,-0.8921435969726532,-0.9183180480013666,-0.9184102745416147,-0.8698245007775283,-0.9712090287918573
2010-09-24,-0.9326182288253739,-0.8858344758229149,-0.9158977838865252,-0.9057654410959497,-0.8616723849957627,-0.9634078679567546
2010-09-27,-0.9359420124474751,-0.8960492925160128,-0.9174103912560287,-0.9238295216893635,-0.8669167921407943,-0.9745527632134863
2010-09-28,-0.9531651500664791,-0.9161785406790757,-0.9307216130785665,-0.9364744699836518,-0.8490920609845399,-0.9823539240485888
2010-09-29,-0.968575398629844,-0.9257924723188027,-0.9473605249521939,-0.9476139825213028,-0.876373838850081,-0.9892263025868944
